totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-1097383.1,-26339.736,-0.21,11883045.0,-7786463.0,1206.1173,414821.84,-26340.0,-3441567.0
3683.5,-1106734.6,-26386.424,-0.21,12004285.0,-7850163.0,1217.9073,418855.72,-26387.0,-3493847.8
3712.5,-1116289.6,-26325.723,-0.21,12161571.0,-7916133.5,1130.8286,387663.44,-26326.0,-3544268.0
3743.5,-1127355.4,-26244.734,-0.2,12350501.0,-7994360.0,1019.3377,347641.25,-26244.0,-3603691.2
3773.5,-1138804.1,-26191.389,-0.2,12539565.0,-8076343.0,913.2801,309715.25,-26191.0,-3661237.5
3804.5,-1150842.1,-26152.062,-0.2,12713898.0,-8163934.5,854.9441,288651.2,-26152.0,-3714779.5
3834.5,-1161986.5,-26254.521,-0.2,12842541.0,-8244472.0,884.1045,298592.28,-26255.0,-3761813.5
3865.5,-1172240.5,-26371.771,-0.19,12933959.0,-8315822.5,1016.8242,345314.6,-26372.0,-3818599.2
3896.5,-1180462.8,-26567.195,-0.19,12972698.0,-8367311.5,1251.8585,428902.16,-26567.0,-3881644.8
3926.5,-1186652.0,-26703.117,-0.19,12983465.0,-8402666.0,1474.7988,509059.38,-26704.0,-3931384.0
3957.5,-1191662.9,-26828.402,-0.19,12991305.0,-8427968.0,1659.3718,576208.56,-26829.0,-3976370.2
3987.5,-1195727.5,-26928.168,-0.19,13022560.0,-8445613.0,1832.8057,639683.7,-26928.0,-4049663.2
4018.5,-1199879.9,-26974.115,-0.19,13091699.0,-8462781.0,1909.5857,668364.25,-26974.0,-4126285.5
4049.5,-1204616.2,-26897.441,-0.19,13203916.0,-8485588.0,1881.7928,659024.56,-26898.0,-4201515.5
4077.5,-1209986.4,-26764.857,-0.19,13352331.0,-8518328.0,1761.8102,616113.0,-26765.0,-4268656.0
4108.5,-1217441.4,-26620.652,-0.18,13543853.0,-8570551.0,1573.7104,548355.9,-26621.0,-4332411.0
4138.5,-1225587.0,-26519.69,-0.18,13722600.0,-8631938.0,1426.1284,495204.56,-26520.0,-4388225.0
4169.5,-1234424.5,-26456.113,-0.18,13896961.0,-8700586.0,1343.9878,465469.38,-26456.0,-4455220.0
4199.5,-1242682.0,-26493.963,-0.18,14031487.0,-8763555.0,1362.0916,471592.62,-26494.0,-4524697.5
4230.5,-1249847.8,-26605.258,-0.18,14117117.0,-8816566.0,1496.2441,519480.94,-26605.0,-4598285.0
4261.5,-1255115.1,-26771.586,-0.18,14157841.0,-8852306.0,1707.2319,595590.5,-26771.0,-4674489.0
4291.5,-1258479.8,-26951.977,-0.18,14168999.0,-8870392.0,1929.0679,676332.4,-26952.0,-4745339.5
4322.5,-1260524.6,-27113.035,-0.18,14176911.0,-8876397.0,2132.0303,751193.6,-27113.0,-4820427.5
4352.5,-1261808.9,-27182.297,-0.18,14205818.0,-8877063.0,2247.2412,794339.6,-27182.0,-4890715.5
4383.5,-1263616.4,-27090.787,-0.17,14295344.0,-8883455.0,2217.8333,784410.56,-27090.0,-4961992.0
