real_name,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3683.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3712.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3743.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3773.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3804.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3834.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3865.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3896.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3926.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3957.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:3987.5,oname:hds_otype:lst_usecol:trgw-0-26-6_time:4018.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3683.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3712.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3743.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3773.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3804.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3834.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3865.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3896.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3926.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3957.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:3987.5,oname:hds_otype:lst_usecol:trgw-0-3-8_time:4018.5,oname:sfr_otype:lst_usecol:gage-1_time:3683.5,oname:sfr_otype:lst_usecol:gage-1_time:3712.5,oname:sfr_otype:lst_usecol:gage-1_time:3743.5,oname:sfr_otype:lst_usecol:gage-1_time:3773.5,oname:sfr_otype:lst_usecol:gage-1_time:3804.5,oname:sfr_otype:lst_usecol:gage-1_time:3834.5,oname:sfr_otype:lst_usecol:gage-1_time:3865.5,oname:sfr_otype:lst_usecol:gage-1_time:3896.5,oname:sfr_otype:lst_usecol:gage-1_time:3926.5,oname:sfr_otype:lst_usecol:gage-1_time:3957.5,oname:sfr_otype:lst_usecol:gage-1_time:3987.5,oname:sfr_otype:lst_usecol:gage-1_time:4018.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3683.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3712.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3743.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3773.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3804.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3834.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3865.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3896.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3926.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3957.5,oname:sfrtd_otype:lst_usecol:gage-1_time:3987.5,oname:sfrtd_otype:lst_usecol:gage-1_time:4018.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3683.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3712.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3743.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3773.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3804.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3834.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3865.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3896.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3926.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3957.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:3987.5,oname:hdstd_otype:lst_usecol:trgw-0-26-6_time:4018.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3683.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3712.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3743.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3773.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3804.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3834.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3865.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3896.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3926.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3957.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:3987.5,oname:hdstd_otype:lst_usecol:trgw-0-3-8_time:4018.5
0,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
1,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
2,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
3,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
4,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
5,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
6,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
7,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
8,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
9,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,169.861,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,153.693,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.536731,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,0.628861,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,1751.52,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07,2067.07
