time,TRGW-0-2-15,TRGW-0-2-9,TRGW-0-3-8,TRGW-0-9-1,TRGW-0-13-10,TRGW-0-15-16,TRGW-0-21-10,TRGW-0-22-15,TRGW-0-24-4,TRGW-0-26-6,TRGW-0-29-15,TRGW-0-33-7,TRGW-0-34-10
3652.500000000,34.52617626,35.59614536,35.71672247,36.74261717,34.74710591,34.31148517,34.62463270,34.15674529,35.27258281,34.87852878,34.02303024,34.47765525,34.20166991
3683.500000000,34.53851625,35.61803898,35.73795309,36.76196496,34.73489101,34.30408987,34.61303097,34.14153593,35.27251609,34.84874862,34.02109766,34.46361101,34.15414729
3712.500000000,34.59366514,35.71968101,35.84076639,36.87461040,34.79869686,34.34898371,34.67963541,34.18074666,35.34854334,34.89869612,34.05743060,34.51373096,34.21203897
3743.500000000,34.65496249,35.85042724,35.97581663,37.03585051,34.88672497,34.40537441,34.75638227,34.22346132,35.45610908,34.98259053,34.09540052,34.58582529,34.25551399
3773.500000000,34.70272774,35.96900662,36.10035594,37.19764142,34.96373273,34.45004775,34.83188657,34.26280911,35.56210708,35.07077676,34.12997486,34.65674062,34.32071772
3804.500000000,34.71761650,36.03296101,36.17064988,37.30894585,35.00483787,34.46737930,34.86165186,34.27621834,35.62627059,35.13041563,34.14007581,34.69943616,34.35135588
3834.500000000,34.68690379,36.00820185,36.15001750,37.32059699,34.96938727,34.43552707,34.82720984,34.25323694,35.61110358,35.12057315,34.11917835,34.68174833,34.33586583
3865.500000000,34.61994077,35.90338186,36.04572633,37.23506681,34.85313287,34.35113791,34.70835757,34.17333294,35.49626527,34.99381245,34.06045965,34.57462548,34.23147989
3896.500000000,34.51080360,35.70469655,35.84297514,37.03169798,34.64064679,34.20915305,34.50606839,34.05527072,35.27951437,34.78158457,33.96434130,34.39421647,34.06097377
3926.500000000,34.40942381,35.48772811,35.61822294,36.77904709,34.45142581,34.09209367,34.31640805,33.96210427,35.04035324,34.56234463,33.87641678,34.21511459,33.92882757
3957.500000000,34.33313056,35.29330989,35.41353217,36.51984973,34.31175155,34.00983116,34.17122781,33.88925425,34.82935564,34.38944139,33.81215645,34.06870597,33.81844964
3987.500000000,34.30286655,35.17814943,35.28810195,36.32675174,34.22275809,33.96724502,34.02278899,33.83410322,33.58650548,34.02166121,33.77091364,33.93448864,33.71769292
4018.500000000,34.31359254,35.14536281,35.24669921,36.21216690,34.19778422,33.96501745,33.93779952,33.81066648,33.39539775,33.83283725,33.76098532,33.86434749,33.69851290
4049.500000000,34.36118696,35.19922198,35.29583237,36.19588830,34.26640090,34.01169400,33.95668260,33.83434130,33.35385724,33.79784791,33.78884924,33.86667402,33.72376863
4077.500000000,34.44462355,35.33499610,35.43105643,36.28611752,34.40368155,34.11041053,34.06543432,33.92103173,33.26843011,33.83986424,33.84951051,33.93833752,33.80453187
4108.500000000,34.53873322,35.51556242,35.61542797,36.44710525,34.57441840,34.22771709,34.23357225,34.02291839,33.70381415,34.03061727,33.92653353,34.06708935,33.93287579
4138.500000000,34.59793902,35.65214410,35.75812057,36.58819296,34.71212913,34.31181493,34.36806064,34.09617007,33.87812433,34.19207643,33.98055350,34.17529393,34.02114195
4169.500000000,34.63201960,35.75017431,35.86249152,36.70699376,34.78799341,34.35709739,34.44207832,34.13710468,33.80498238,34.25620150,34.00720734,34.23841257,34.04622981
4199.500000000,34.61649868,35.75932882,35.87624381,36.74069527,34.76771106,34.33458101,34.41760152,34.11582528,33.70281876,34.22438222,33.99408622,34.22996417,34.03719434
4230.500000000,34.54873985,35.65989811,35.77805248,36.65240130,34.65707685,34.25005618,34.28523402,34.03031842,33.52885341,34.08866917,33.93179709,34.12423878,33.92410538
4261.500000000,34.45281174,35.48446643,35.59927478,36.46291702,34.48065751,34.12708653,34.09147744,33.91245146,33.29301839,33.88039183,33.84330536,33.95432477,33.77077839
4291.500000000,34.35366271,35.27952749,35.38709992,36.22035560,34.27973894,33.99858275,33.89544864,33.80419259,33.23074330,33.68654671,33.75374739,33.78089829,33.63848014
4322.500000000,34.27523294,35.08957802,35.18718798,35.96913634,34.11346412,33.90000021,33.73002079,33.72636161,32.85068592,33.44926844,33.68217228,33.61190780,33.51921560
4352.500000000,34.24298953,34.97469700,35.06261380,35.78269855,34.03664836,33.86107913,33.63909925,33.68706732,32.75674678,33.31111433,33.64679730,33.50435351,33.44414768
4383.500000000,34.28267820,34.99325162,35.07402097,35.73253235,34.08958773,33.90887652,33.67769091,33.72158871,32.75401157,33.32785929,33.67214021,33.51658141,33.45486332
