totim,ghb,in-out,percent-discrepancy,rcha,sfr,sto-ss,sto-sy,total,wel
3652.5,-300.4471,-7.2114,-0.21,3253.4004,-2131.8174,0.330188,113.57199,-7.211426,-942.2497
3683.5,-301.6603,-1.506,-0.04,3910.9646,-2054.8425,0.38030002,130.125,-1.5058594,-1686.4731
3712.5,-329.4812,2.0932,0.04,5423.6494,-2274.8496,-3.0026693,-1075.5948,2.0932617,-1738.6278
3743.5,-356.9605,2.6125,0.04,6094.514,-2523.4268,-3.5964787,-1291.0381,2.6123047,-1916.8802
3773.5,-381.6253,1.7782,0.03,6302.123,-2732.7703,-3.535242,-1264.201,1.7783203,-1918.2129
3804.5,-388.3216,1.2685,0.02,5623.6455,-2825.5298,-1.8818,-679.4868,1.2685547,-1727.1569
3834.5,-371.4795,-3.4153,-0.07,4288.1104,-2684.583,0.971991,331.37082,-3.415039,-1567.8058
3865.5,-330.775,-3.7823,-0.08,2948.9624,-2301.6296,4.2813,1507.1722,-3.7822266,-1831.7935
3896.5,-265.2344,-6.304,-0.16,1249.649,-1660.9442,7.5817,2696.3728,-6.304199,-2033.7291
3926.5,-206.3063,-4.5307,-0.15,358.8943,-1178.4812,7.431299,2671.9065,-4.5307617,-1657.9753
3957.5,-161.6409,-4.0415,-0.17,252.9104,-816.1984,5.954,2166.103,-4.041504,-1451.1696
3987.5,-135.4904,-3.3255,-0.1,1041.8173,-588.1696,5.7811,2115.836,-3.3254395,-2443.0996
4018.5,-133.9456,-1.4822,-0.05,2230.306,-553.8159,2.476819,925.1794,-1.4821777,-2471.6829
4049.5,-152.7858,2.4734,0.06,3619.9082,-735.70557,-0.8966,-301.27942,2.4731445,-2426.7676
4077.5,-191.7915,4.7352,0.09,5300.5327,-1169.2848,-4.2851167,-1532.5532,4.7348633,-2397.8828
4108.5,-240.4846,4.6518,0.08,6178.1377,-1684.614,-6.0677,-2185.7136,4.651367,-2056.6062
4138.5,-271.5196,3.3654,0.06,5958.203,-2046.2106,-4.9194,-1771.711,3.3652344,-1860.477
4169.5,-285.0796,2.0509,0.04,5624.559,-2214.4573,-2.6497037,-959.2013,2.0507812,-2161.1204
4199.5,-275.2507,-1.2617,-0.03,4484.191,-2098.9875,0.6035,204.1081,-1.2617188,-2315.926
4230.5,-231.1524,-3.5901,-0.08,2762.271,-1710.0317,4.3275,1544.7855,-3.5898438,-2373.79
4261.5,-169.9174,-5.3654,-0.14,1313.69,-1152.8939,6.8061,2455.147,-5.3652344,-2458.197
4291.5,-112.1547,-6.0131,-0.19,371.9059,-602.8808,7.3945,2691.3962,-6.0131836,-2361.674
4322.5,-65.9606,-5.1954,-0.19,255.231,-193.70468,6.5472,2414.88,-5.1955566,-2422.1882
4352.5,-42.8106,-2.3087,-0.09,963.5617,-22.156708,3.8404,1438.2004,-2.308838,-2342.944
4383.5,-58.3075,2.9519,0.1,2887.9434,-206.1976,-0.94860005,-320.2955,2.9519043,-2299.2422
