,0,2,3,sidx,idx_strs,x,y,pargp9,parval1_9,9
0,0,0,15,"(0, 0, 15)",idx0:0_idx1:0_idx2:15,3875.0,9875.0,sfrcondgr,1.0,1.094169671504481744506165341590531170368194580078125000000000000000000000000
1,1,1,15,"(1, 1, 15)",idx0:1_idx1:1_idx2:15,3875.0,9625.0,sfrcondgr,1.0,1.129139580838006695628905617923010140657424926757812500000000000000000000000
2,2,2,15,"(2, 2, 15)",idx0:2_idx1:2_idx2:15,3875.0,9375.0,sfrcondgr,1.0,0.967288980635279349584720876009669154882431030273437500000000000000000000000
3,3,3,15,"(3, 3, 15)",idx0:3_idx1:3_idx2:15,3875.0,9125.0,sfrcondgr,1.0,1.120290040554073218714847826049663126468658447265625000000000000000000000000
4,4,4,15,"(4, 4, 15)",idx0:4_idx1:4_idx2:15,3875.0,8875.0,sfrcondgr,1.0,1.060928830405573064510349468037020415067672729492187500000000000000000000000
5,5,5,15,"(5, 5, 15)",idx0:5_idx1:5_idx2:15,3875.0,8625.0,sfrcondgr,1.0,0.966375461068882501969312670553335919976234436035156250000000000000000000000
6,6,6,15,"(6, 6, 15)",idx0:6_idx1:6_idx2:15,3875.0,8375.0,sfrcondgr,1.0,1.056340907307447896101848527905531227588653564453125000000000000000000000000
7,7,7,15,"(7, 7, 15)",idx0:7_idx1:7_idx2:15,3875.0,8125.0,sfrcondgr,1.0,1.160032784303930419866901502246037125587463378906250000000000000000000000000
8,8,8,15,"(8, 8, 15)",idx0:8_idx1:8_idx2:15,3875.0,7875.0,sfrcondgr,1.0,1.217083464937428249896811394137330353260040283203125000000000000000000000000
9,9,9,15,"(9, 9, 15)",idx0:9_idx1:9_idx2:15,3875.0,7625.0,sfrcondgr,1.0,1.272766211461918262060066808771807700395584106445312500000000000000000000000
10,10,10,15,"(10, 10, 15)",idx0:10_idx1:10_idx2:15,3875.0,7375.0,sfrcondgr,1.0,1.01329737767712946272524732194142416119575500488281250000000000000000000000000
11,11,11,15,"(11, 11, 15)",idx0:11_idx1:11_idx2:15,3875.0,7125.0,sfrcondgr,1.0,0.98622416848858307503178366459906101226806640625000000000000000000000000000000
12,12,12,15,"(12, 12, 15)",idx0:12_idx1:12_idx2:15,3875.0,6875.0,sfrcondgr,1.0,0.80254063219675353391124872359796427190303802490234375000000000000000000000000
