obsnme,obsval,weight,obgnme,i,j,oname,otype,time,totim,usecol,zone,observed,standard_deviation
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3652.5,34.08722166,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3652.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3683.5,34.09235231,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3683.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3712.5,34.11697023,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3712.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3743.5,34.2074897,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3743.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3773.5,34.20981941,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3773.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3804.5,34.25398455,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3804.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3834.5,34.23083101,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3834.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3865.5,34.18030152,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3865.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3896.5,34.08429752,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3896.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3926.5,33.99271482,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3926.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3957.5,33.90948122,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3957.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:3987.5,33.86687257,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,3987.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4018.5,33.83559173,2.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4018.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4049.5,33.85989653,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4049.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4077.5,33.88410587,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4077.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4108.5,33.92541703,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4108.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4138.5,33.99946281,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4138.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4169.5,34.0297886,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4169.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4199.5,34.02184134,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4199.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4230.5,33.96408482,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4230.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4261.5,33.88891938,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4261.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4291.5,33.80739097,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4291.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4322.5,33.73677984,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4322.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4352.5,33.6964806,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4352.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-13-10_time:4383.5,33.71152995,0.0,oname:hds_otype:lst_usecol:trgw-0-13-10,,,hds,lst,4383.5,,trgw-0-13-10,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3652.5,34.00709257,0.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3652.5,,trgw-0-15-16,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3683.5,34.00914902,2.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3683.5,,trgw-0-15-16,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3712.5,34.02857205,2.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3712.5,,trgw-0-15-16,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3743.5,34.10455667,2.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3743.5,,trgw-0-15-16,,,
oname:hds_otype:lst_usecol:trgw-0-15-16_time:3773.5,34.08982842,2.0,oname:hds_otype:lst_usecol:trgw-0-15-16,,,hds,lst,3773.5,,trgw-0-15-16,,,
