time,HEADWATER,TAILWATER,GAGE-1
3652.500000000,-1263.997488456439,-915.9587436469334,2635.312835169896
3683.500000000,-1193.131240681909,-866.2999860104408,2517.729059955786
3712.500000000,-1304.788112732410,-960.2662102621620,2719.825296684397
3743.500000000,-1454.630145115199,-1056.881080966974,2962.896163970393
3773.500000000,-1571.200863476520,-1152.751630139785,3172.304799194716
3804.500000000,-1641.509403904773,-1179.149839199260,3268.478575696145
3834.500000000,-1643.218061952551,-1182.015846630680,3272.921954476411
3865.500000000,-1353.167029128995,-964.6612784746342,2773.101056590114
3896.500000000,-978.6036798101707,-710.3965268180331,2152.429987871028
3926.500000000,-718.1497446646684,-482.6575646691501,1671.476359455930
3957.500000000,-517.2285063282578,-317.9674548691989,1310.792176090499
3987.500000000,-390.5195793155723,-209.3768012406044,1077.739251748330
4018.500000000,-367.7977025577361,-189.3223476695696,1033.984341736256
4049.500000000,-469.5608179957832,-255.0234211532118,1198.446395054654
4077.500000000,-733.9187244345904,-411.4030029579648,1614.123254517074
4108.500000000,-1040.120243722202,-619.0945292972963,2121.710914343859
4138.500000000,-1264.956124549399,-764.3852834236494,2488.027383629820
4169.500000000,-1373.165101694552,-832.6848974113249,2663.247622836180
4199.500000000,-1303.087229266403,-801.4501176163816,2563.291444108223
4230.500000000,-1100.626616598324,-625.5701831475764,2190.778914603696
4261.500000000,-791.5614258599677,-386.6749175035728,1650.317379906389
4291.500000000,-467.6793999324138,-164.3348492393950,1110.568990606686
4322.500000000,-225.4180515286785,6.305794069081455,702.3376480448280
4352.500000000,-130.5965887258021,96.78852565694838,519.1851932737253
4383.500000000,-241.7530817010154,49.28726398928189,676.1977599545412
